Trade Date,Member Type,Member Code,Member Name,Total Deposits Available,Initial Margin Amount,Extreme Loss Margin Utilized
09-MAY-2026,M,M51089,Master Capital Services Limited,14571675.7,6959367.35,574426.36
09-MAY-2026,M,M51090,Share India Securities Limited,78143131.68,34417658.11,7814210.54
09-MAY-2026,M,M51091,JAMBUWALA COMMODITIES PRIVATE LIMITED,61582290.45,36252558.22,3860633.23
09-MAY-2026,M,M51092,Adroit Financial Services Private Limited,691437.1,382816.95,38103.50
09-MAY-2026,M,M51093,Tradebulls Securities Private Limited,41385297.91,40581071.67,3748582.83
09-MAY-2026,M,M51094,Ashika Stock  Services Limited,1800000,0.00,0.00
09-MAY-2026,M,M51095,Steel City Securities Limited,5000000,4413870.15,413165.17
09-MAY-2026,M,M51097,Illuminati Trading Private Limited,-5000000,0.00,0.00
09-MAY-2026,M,M51098,ANS Private Limited,8000000,45166465.20,3938970.50
09-MAY-2026,M,M51099,Bonanza Portfolio Limited,10000000,29962945.88,2520733.50
09-MAY-2026,M,M51100,Jainam Broking Limited,69458672.6,22064043.90,1887745.00
09-MAY-2026,M,M51101,Angel Securities Limited,0,0.00,0.00
09-MAY-2026,M,M51102,Vinod Shares Limited,0,0.00,0.00
09-MAY-2026,M,M51104,Arham Wealth Management Private Limited,0,7377147.37,814115.50
09-MAY-2026,M,M51105,Findoc Investmart Private Limited,7244200.6,6845038.38,574004.00
09-MAY-2026,M,M51106,UKS Forex Private Limited,0,0.00,0.00
09-MAY-2026,M,M51107,Raghunandan Capital Private Limited,48500000,33083182.72,3490616.23
09-MAY-2026,M,M51108,Mintcap Brokers Private Limited,0,0.00,0.00
09-MAY-2026,M,M51109,Nuvama Wealth and Investment Limited,95051989.52,77942821.98,7192877.50
09-MAY-2026,M,M51110,Paytm Money Limited,0,0.00,0.00
09-MAY-2026,M,M51111,Marwadi Chandarana Intermediaries Brokers Private Limited,25285084,6620767.89,535832.50
09-MAY-2026,M,M51112,Achintya Securities Limited,0,0.00,0.00
09-MAY-2026,M,M51113,Neo Wealth Management Private Limited,0,0.00,0.00
